cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,HTC,immigrants_refugees,children_ages_0_5,limited_english_proficient_indi,htc_breakdown_data_confidence,Language,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,orange,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,"arabic, filipino, hindi",40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/15/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,512,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",35,40,35,low,"korean, spanish",,,,,,,,,,,,,,10,,,,,,512,,,,,,,very_high,,,,,,,,,,
CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic society of orange county,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95,medium,,,,,,"arabic, filipino, hindi",40,,,,,,,20,40,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
OC HUman Relations,Charitable Ventures,social_media,,6/1/2020,,,,,,county of orangelifornia,,,,,,,,,,Facedbook,,,,441,high,80,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",132,44,8,high,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,342,,,,,99,,high,YES,NO,NO,NO,NO,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/15/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Clergy and Laity United for Economic Justice,Charitable Ventures,advertising,,7/26/2020,,,,,Anaheim,"1000 s state college blvd, anaheim 92806","Anaheim United Methodist Church - service announcement, social media, etc",,,,,,,,,,,,,150,MEDIUM,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",Posters posted up in community areas,,,,,,,,,,,,,70,very_high,100,very_high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Anaheim,"1310 w. diamond street, anaheim 92801",Posters posted up in community areas,,,,,,,,,,,,,25,very_high,100,very_high,,,,,high,other,,,,,,,,,,,,,,,,,,,,,,,,,,25,very_high,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/30/2020,,,,,,orange,,,,,,,,,,,,,,1170,very_high,100,medium,"immigrants_refugees, limited_english_proficient_indi",800,,100,medium,"chinese, spanish",,,,,,100,,,,,,,,,,,,,,500,,,,,,,medium,,,,,,,,,,
OC Human Relations,Charitable Ventures,advertising,T-Shirts and Tote Bags distribution,8/24/2020,,,,,Anaheim,"1500 w ball rd, anaheim 92802",,,,,,,,,,,,,,90,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",60,40,60,high,spanish,,,,,,,,,,,,,,,,,,,,70,,,,,,,high,YES,NO,NO,NO,NO,,,,,
OC Human Relations,Charitable Ventures,advertising,Banner at School ,8/24/2020,,,,,Anaheim,"1500 w ball rd, anaheim 92802",,,,,,,,,,,,,,600,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",350,240,240,high,spanish,,,,,,,,,,,,,,,,,,,,500,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,4/20/2020,,4/24/2020,,,,orange,Social Media Post,,,,,,,,,,,,,150,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",35,40,35,low,spanish,,,,,,,,,,,,,,,,,,,,150,,,,,,,very_high,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/22/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC HUman Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,6/1/2020,,,,,Anaheim,"2130 w brownwood st, anaheim 92801",,,,,,,,,,,,,,250,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,120,150,medium,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,high,YES,NO,NO,NO,NO,,,,,
OC Human Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,4/13/2020,,,,,Anaheim,"2130 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,150,160,medium,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,YES,NO,NO,NO,NO,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/4/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Human Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,4/20/2020,,,,,Anaheim,"2130 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,150,160,medium,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,YES,NO,NO,NO,NO,,,,,
OC Human Relations,Charitable Ventures,advertising,Posters at Food Trucks,6/22/2020,,,,,Anaheim,"2130 w brownwood, anaheim 92801",,,,,,,,,,,,,,250,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,120,150,medium,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,high,YES,NO,NO,NO,NO,,,,,
OC Human Relations,Charitable Ventures,advertising,Poster at Jimenez Food Truck Board,3/23/2020,,,,,Anaheim,"2138 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,medium,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,150,160,high,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,yes,no,no,no,no,,,,,
OC Human Relations,Charitable Ventures,advertising,Poster at Jimenez Food Truck Board,3/23/2020,,,,,Anaheim,"2138 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,medium,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",200,150,160,high,spanish,,,,,,,,,,,,,,,,,,,,200,,,,,,,medium,yes,no,no,no,no,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,4/29/2020,,,,,,orange,,,,,,,,,,,,,,325,very_high,100,medium,"immigrants_refugees, limited_english_proficient_indi",200,,50,medium,"chinese, mandarin",,,,,,100,,,,,,,,,100,,,,,,,,,,,,medium,,,,,,,,,,
OCCCO,Charitable Ventures,advertising,Facebook post,3/2/2020,3/2/2020,,,,Anaheim,"310 w broadway, anaheim ca, 92805",Womens day Census facebook post,,,,,,,,,,,,,101,exact,100,exact,,,,,exact,spanish,,,,,,,,,,,,,,,,,,,,101,,,,,,,exact,,,,,,,,,,
OCCCO,Charitable Ventures,advertising,Facebook post,3/8/2020,3/8/2020,,,,Anaheim,310 w. broadway anaheim ca 92805,,,,,,,,,,Facebook,,,,131,exact,100,exact,,,,,exact,spanish,,,,,,,,,,,,,,,,,,,,131,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/10/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
OC Human Relations,Charitable Ventures,advertising,T-shirts and bags distribution. ,9/24/2020,,,,,Anaheim,"3335 w. lincoln ave, anaheim 92801",,,,,,,,,,,,,,45,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",20,10,8,high,spanish,,,,,,,,,,,,,,,,,,,,90,,,,,,,high,YES,NO,NO,NO,NO,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,advertising,,3/28/2020,,,,,,orange,Social Media Post on facebook,,,,,,,,,,,,,54,high,75,medium,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,
Clergy and Laity United for Economic Justice,Charitable Ventures,advertising,,7/26/2020,,,,,Anaheim,"405 n dale ave, anaheim 92801",St. John the Baptist Greek Orthodox Church - announcement and/or social media,,,,,,,,,,,,,100,MEDIUM,100,high,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Health Initiative of Orange County ,Charitable Ventures,advertising,Social Media post,3/14/2020,,,,,,orange,facebook post,,,,,,,,,,,,,67,high,80,medium,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
The LGBTQ Center OC,Charitable Ventures,advertising,Social Media Post,2/29/2020,2/29/2020,,,30,Anaheim,"500 w broadway, anaheim 92805",Census postcards were given to individuals who assited the citizenship fair.,,,30,OCCORD CITIZENSHIP FAIR,,,30,General Census Postcards,,,,,30,medium,75,medium,limited_english_proficient_indi,,,20,medium,spanish,,,,,,,,,,,,,,,,,,,,20,,,,,,,medium,,,,,,,,,,
Access California Services,Charitable Ventures,advertising,Social Media post,4/1/2020,,,,,Anaheim,"631 s. brookhurst st., suite #107, anaheim 92804",post on social media regarding census day,,,,,,,,,,,,,233,very_high,100,medium,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Brea,"255 s. kraemer circle, brea 92821",Posters posted up in community areas,,,,,,,,,,,,,115,medium,100,very_high,,,,,high,spanish,,,,,,,,,,,,,,,,,,,,95,,,,,,,medium,,,,,,,,,,
AASCSC,Asian American Senior Citizens Service Center,social_media,,5/26/2020,,,,,,orange,,,,,,,,,,,,,,220,very_high,100,medium,"immigrants_refugees, limited_english_proficient_indi",150,,100,medium,"chinese, mandarin",,,,,,100,,,,,,,,,100,,,,,,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/1/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/13/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Brea,"401 discovery lane, brea 92821",Posters posted up in community areas,,,,,,,,,,,,,94,medium,100,very_high,,,,,medium,"spanish, vietnamese",,,,,,,,,,,,,,,,,,,,70,,,,,4,,medium,,,,,,,,,,
KCS,Charitable Ventures,advertising,Send Census text messages to KCS patients/clients,7/31/2020,,,,,Buena Park,"7212 orangethorpe ave. suite 8,  buena park 90621",advertising Census,,sending text messages,3274,,KCS patients/clients,,,,,,,,3270,very_high,99,very_high,limited_english_proficient_indi,,,50,very_high,korean,,,,,,,,,,,,,,1500,,,,,,,,,,,,,medium,,,,,,,,,,
KCS,Charitable Ventures,advertising,Telehealth and telephone inquiry about Census,7/13/2020,7/17/2020,,,,Buena Park,"7214 orangethorpe ave. suite 9, buena park 90621",Advertising Census,,Asking for particiating Census,350,,"Low income patients, Covid-19 scan inquiries and applicants",,,,,,,,350,high,70,high,limited_english_proficient_indi,,,120,medium,"korean, spanish",,,,,,,,,,,,,,140,,,,,,20,,,,,,,high,,,,,,,50,,,
Latino Health Access,Charitable Ventures,social_media,,5/10/2020,,,,,,orange,Facebook post,,,,,,,,,,,,,1272,exact,75,high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Access,Charitable Ventures,advertising,Passing out Census Flyers,2/7/2020,,,,,Cypress,"5201 lincoln ave, cypress 90630",,,,,,,,,,,,,,170,exact,80,high,"immigrants_refugees, limited_english_proficient_indi",163,,162,high,"arabic, farsi, hindi, korean, spanish, vietnamese, other",11,,,,,,1,,6,,,,,114,,,,,,10,,,,,1,4,medium,,,,,,,,,,
OC Human Relations,Charitable Ventures,advertising,T-shirts and bags distribution,9/23/2020,,,,,Fullerton,"3100 topaz lane, fullerton 92831",,,,,,,,,,,,,,300,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",110,55,80,high,spanish,,,,,,,,,,,,,,,,,,,,40,,,,,,,high,YES,NO,NO,NO,NO,4,,,,
OC Human Relations,Charitable Ventures,advertising,T-Shirts/Bags distribution,9/16/2020,,,,,Fullerton,"711 highland ave, fullerton 92832",,,,,,,,,,,,,,80,high,95,high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",60,20,70,high,spanish,,,,,,,,,,,,,,,,,,,,80,,,,,,,high,YES,NO,NO,NO,NO,,,,,
AltaMed,Charitable Ventures,advertising,,1/13/2020,1/20/2020,,,,Garden Grove,"12751 harbor blvd, garden grove 92840",Census PSAs ,,,,,,,,,,,,,1567,exact,95,very_high,immigrants_refugees,847,,,medium,spanish,,,,,,,,,,,,,,,,,,,,1261,,,,,,,low,,,,,,,,,,
WAVE,Charitable Ventures,social_media,,5/13/2020,5/18/2020,,,,,orange,,,,,,,,,,Facebook,,,,2243,exact,100,high,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/12/2020,,,,,,orange,Instagram Post ,,,,,,,,,,,,,200,exact,70,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,1/28/2020,2/4/2020,,,,Garden Grove,"12751 harbor blvd, garden grove 92840",Census PSAs ,,,,,,,,,,,,,1603,very_high,90,very_high,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,1603,,,,,,,low,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,6/23/2020,6/29/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,130924,,,,,,,medium,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,7/7/2020,7/13/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,130924,,,,,,,medium,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,7/14/2020,7/20/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,130924,,,,,,,medium,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,7/21/2020,7/27/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,130924,,,,,,,medium,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,7/28/2020,8/1/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90,medium,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,130924,,,,,,,medium,,,,,,,,,,
The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/28/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90,very_high,immigrants_refugees,1935,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,1/13/2020,1/20/2020,,,,Huntington Beach,"8041 newman ave, huntington beach 92647",Census PSAs ,,,,,,,,,,,,,1618,exact,95,very_high,immigrants_refugees,716,,,medium,spanish,,,,,,,,,,,,,,,,,,,,1211,,,,,,,low,,,,,,,,,,
AltaMed,Charitable Ventures,advertising,,1/28/2020,2/4/2020,,,,Huntington Beach,"8041 newman ave, huntington beach 92647",Census PSAs ,,,,,,,,,,,,,1836,very_high,85,very_high,,,,,medium,spanish,,,,,,,,,,,,,,,,,,,,1836,,,,,,,low,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,3/10/2020,,8/31/2020,,,,orange,Social Media Post,,,,,,,,,,,,,356,very_high,90,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",35,40,35,low,spanish,,,,,,,,,,,,,,,,,,,,356,,,,,,,very_high,,,,,,,,,,
Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Irvine,"1000 crested bird, irvine 92620",Posters posted up in community areas,,,,,,,,,,,,,134,very_high,100,very_high,,,,,high,"arabic, farsi, spanish",20,,,,,,35,,,,,,,,,,,,,5,,,,,,,medium,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,advertising,,3/5/2020,,7/31/2020,,,La Habra,"501 s. idaho street, la habra 90631",Banner on permanent display in the Barnett Center Main Lobby ,,,,,,,,,,,,,2100,very_high,100,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",100,500,1000,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,very_low,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,advertising,,3/5/2020,,7/31/2020,,,La Habra,"501 s. idaho street, la habra 90631",Banner on permanent display in the Barnett Center Main Lobby ,,,,,,,,,,,,,2100,very_high,100,very_high,"immigrants_refugees, children_ages_0_5, limited_english_proficient_indi",100,500,1000,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Central Valley Opportunity Center,social_media,,9/19/2020,,,,,,orange,Social media ,,,,,,,,,,,,,1186,exact,100,very_high,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
CAP OC ,Charitable Ventures,phone_banking,,8/31/2020,8/1/2020,,,,,orange,,,,,,,,,,,,,,46,exact,100,high,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latino Health Access,Charitable Ventures,social_media,,4/6/2020,,,,,,orange,Facebook Post,,,,,,,,,,,,,159,exact,90,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Advancement ,Charitable Ventures,advertising,,3/5/2020,,7/31/2020,,,La Habra,"501 s. idaho street, la habra 90631",Posters on permanent display in Friends of Family in Behavioral Health Clinic ,,,,,,,,,,,,,90,very_high,100,exact,limited_english_proficient_indi,,,62,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
