,cbo_name,parent_organization,activity_type,activity_type_other,date_of_activity,activity_end_date,advertising_end_date,total_number_of_alert_sign_ups,total_people_spoken_to,City,address,description,total_number_of_houses,how_assisted,total_number_assisted,event_name,audience_details,education_grade,activity_total_material_dist,activity_collateral_dtls,activity_social_media_chan,total_number_nudgedalerted,total_number_of_calls,total_number_of_pledge_cards,total_number_of_impressions,impression_data_accuracy_confid,total_htc_of_impressions,htc_data_accuracy_confidence,immigrants_refugees,middle_eastern_and_north_africa,homeless_individuals_and_famili,farmworkers,veterans,latinos,asian_americans_pacific_islande,african_americans,native_americans_tribal_communi,children_ages_0_5,lesbian_gay_bisexual_transgende,limited_english_proficient_indi,people_with_disabilities,seniorsolder_adults,low_broadband_subscription_rate,htc_breakdown_data_confidence,lang_arabic,lang_armenian,lang_assyrian_neo_aramaic,lang_cantonese,lang_chaldean_neo_aramaic,lang_chinese,lang_farsi,lang_filipino,lang_hindi,lang_hmong,lang_iu_mien,lang_japanese,lang_khmer,lang_korean,lang_mandarin,lang_min_nan_chinese,lang_portuguese,lang_punjabi,lang_russian,lang_spanish,lang_tagalog,lang_telugu,lang_thai,lang_ukrainian,lang_vietnamese,lang_other_info,lang_breakdown_data_confidence,funding_state_allocated,funding_county_direct,funding_acbo_direct,funding_foundation,funding_private,funding_volunteer_hours,qac_total_had_info_no_census,qac_total_completed_pc,qac_total_completed_phone,qac_total_completed_uscb_phone,city_match
11,CAIR-LA,Charitable Ventures,advertising,Social media and email blast,10/15/2020,10/16/2020,10/16/2020,,,,uplift charity,Social media and email blast to community members who follow and/are subscribed to the email list serv.,,,,,,,,,,,,,400,medium,95.0,medium,,,,,,,,,,,,,,,,,30.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,20.0,medium,,,,,,,,,,,
12,Institute for Healthcare Advancement ,Charitable Ventures,advertising,Street Banner,7/31/2020,9/30/2020,,,,,"900 w la habra blvd, la habra ca 90631",Street Banner on La Habra Blvd in La Habra,,,,,,,,,,,,,22700,very_high,90.0,very_high,2000.0,,6000.0,,1766.0,11350.0,7000.0,,,16225.0,,12883.0,,6549.0,,low,,,,,,,,,,,,,,,,,,,,22700.0,,,,,,,very_high,,,,,,,,,,,La Habra
13,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/25/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
14,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Facebook ,4/20/2020,,4/24/2020,,,,orange,Social Media Post,,,,,,,,,,,,,140,very_high,90.0,very_high,20.0,2.0,3.0,,,80.0,5.0,,,30.0,,50.0,,15.0,,low,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,very_high,,,,,,,,,,,Orange
15,CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic institute of orange county,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95.0,medium,,,,,,,,,,,,,,,,,40.0,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Orange
16,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/23/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
17,Latino Health Access,Charitable Ventures,social_media,,4/17/2020,,,,,,orange,Instagram Post ,,,,,,,,,,,,,66,exact,70.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
18,CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,orange,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95.0,medium,,,,,,,,,,,,,,,,,40.0,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Orange
19,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/15/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
20,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,3/10/2020,,8/31/2020,,,,north orange county,Social Media Post,,,,,,,,,,,,,512,very_high,90.0,very_high,35.0,3.0,3.0,,,75.0,,,,40.0,,35.0,,10.0,,low,,,,,,,,,,,,,,10.0,,,,,,512.0,,,,,,,very_high,,,,,,,,,,,Orange
21,CAIR-LA,Charitable Ventures,social_media,Social media and newsletter,10/15/2020,10/16/2020,10/16/2020,,,,islamic society of orange county,"Social media and email blast to community members who follow and/are subscribed to the email list serv.  On average, at least 300 HUNDRED FAMILIES are contacted.",,,,,,,,,,,,,1000,high,95.0,medium,,,,,,,,,,,,,,,,,40.0,,,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Orange
22,OC HUman Relations,Charitable Ventures,social_media,,6/1/2020,,,,,,county of orangelifornia,,,,,,,,,,Facedbook,,,,441,high,80.0,high,132.0,44.0,,,8.0,132.0,66.0,22.0,,44.0,22.0,8.0,8.0,16.0,8.0,high,,,,,,,,,,,,,,,,,,,,342.0,,,,,99.0,,high,YES,NO,NO,NO,NO,,,,,,Orange
23,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/15/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
24,Clergy and Laity United for Economic Justice,Charitable Ventures,advertising,,7/26/2020,,,,,Anaheim,"1000 s state college blvd, anaheim 92806","Anaheim United Methodist Church - service announcement, social media, etc",,,,,,,,,,,,,150,MEDIUM,100.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
25,Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Anaheim,"1270 east lincoln ave, anaheim 92805",Posters posted up in community areas,,,,,,,,,,,,,70,very_high,100.0,very_high,,,,,,28.0,4.0,7.0,2.0,,,,15.0,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
26,Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Anaheim,"1310 w. diamond street, anaheim 92801",Posters posted up in community areas,,,,,,,,,,,,,25,very_high,100.0,very_high,,,,,,5.0,2.0,3.0,1.0,,,,25.0,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,very_high,,,,,,,,,,,Anaheim
27,AASCSC,Asian American Senior Citizens Service Center,social_media,,5/30/2020,,,,,,orange,,,,,,,,,,,,,,1170,very_high,100.0,medium,800.0,,,,,700.0,200.0,,,,,100.0,,,,medium,,,,,,100.0,,,,,,,,,,,,,,500.0,,,,,,,medium,,,,,,,,,,,Orange
28,OC Human Relations,Charitable Ventures,advertising,T-Shirts and Tote Bags distribution,8/24/2020,,,,,Anaheim,"1500 w ball rd, anaheim 92802",,,,,,,,,,,,,,90,high,95.0,high,60.0,,,,,70.0,10.0,,,40.0,,60.0,,10.0,40.0,high,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
29,OC Human Relations,Charitable Ventures,advertising,Banner at School ,8/24/2020,,,,,Anaheim,"1500 w ball rd, anaheim 92802",,,,,,,,,,,,,,600,high,95.0,high,350.0,20.0,20.0,,,400.0,40.0,5.0,,240.0,,240.0,5.0,45.0,180.0,high,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
30,Institute for Healthcare Advancement ,Charitable Ventures,social_media,Instagram,4/20/2020,,4/24/2020,,,,orange,Social Media Post,,,,,,,,,,,,,150,very_high,90.0,very_high,35.0,3.0,3.0,,,75.0,,,,40.0,,35.0,,10.0,,low,,,,,,,,,,,,,,,,,,,,150.0,,,,,,,very_high,,,,,,,,,,,Orange
31,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/22/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
32,OC HUman Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,6/1/2020,,,,,Anaheim,"2130 w brownwood st, anaheim 92801",,,,,,,,,,,,,,250,high,95.0,high,200.0,12.0,16.0,,,200.0,20.0,4.0,,120.0,,150.0,4.0,20.0,60.0,medium,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
33,OC Human Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,4/13/2020,,,,,Anaheim,"2130 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,high,95.0,high,200.0,8.0,16.0,,,200.0,20.0,4.0,,150.0,,160.0,4.0,,20.0,medium,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,medium,YES,NO,NO,NO,NO,,,,,,Anaheim
34,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,8/4/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
35,OC Human Relations,Charitable Ventures,advertising,Posters at Jimenez Food Truck,4/20/2020,,,,,Anaheim,"2130 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,high,95.0,high,200.0,8.0,16.0,,,200.0,20.0,4.0,,150.0,,160.0,4.0,8.0,20.0,medium,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,medium,YES,NO,NO,NO,NO,,,,,,Anaheim
36,OC Human Relations,Charitable Ventures,advertising,Posters at Food Trucks,6/22/2020,,,,,Anaheim,"2130 w brownwood, anaheim 92801",,,,,,,,,,,,,,250,high,95.0,high,200.0,12.0,16.0,,,200.0,20.0,4.0,,120.0,,150.0,4.0,20.0,80.0,medium,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
37,OC Human Relations,Charitable Ventures,advertising,Poster at Jimenez Food Truck Board,3/23/2020,,,,,Anaheim,"2138 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,medium,95.0,high,200.0,12.0,16.0,,,200.0,20.0,4.0,,150.0,,160.0,4.0,20.0,,high,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,medium,yes,no,no,no,no,,,,,,Anaheim
38,OC Human Relations,Charitable Ventures,advertising,Poster at Jimenez Food Truck Board,3/23/2020,,,,,Anaheim,"2138 w brownwood st., anaheim 92801",,,,,,,,,,,,,,250,medium,95.0,high,200.0,12.0,16.0,,,200.0,20.0,4.0,,150.0,,160.0,4.0,20.0,,high,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,medium,yes,no,no,no,no,,,,,,Anaheim
39,AASCSC,Asian American Senior Citizens Service Center,social_media,,4/29/2020,,,,,,orange,,,,,,,,,,,,,,325,very_high,100.0,medium,200.0,,,,,100.0,100.0,,,,,50.0,,,,medium,,,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,medium,,,,,,,,,,,Orange
40,OCCCO,Charitable Ventures,advertising,Facebook post,3/2/2020,3/2/2020,,,,Anaheim,"310 w broadway, anaheim ca, 92805",Womens day Census facebook post,,,,,,,,,,,,,101,exact,100.0,exact,,,,,,101.0,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,exact,,,,,,,,,,,Anaheim
41,OCCCO,Charitable Ventures,advertising,Facebook post,3/8/2020,3/8/2020,,,,Anaheim,310 w. broadway anaheim ca 92805,,,,,,,,,,Facebook,,,,131,exact,100.0,exact,,,,,,131.0,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,medium,,,,,,,,,,,Anaheim
42,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/10/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
43,OC Human Relations,Charitable Ventures,advertising,T-shirts and bags distribution. ,9/24/2020,,,,,Anaheim,"3335 w. lincoln ave, anaheim 92801",,,,,,,,,,,,,,45,high,95.0,high,20.0,,,,,24.0,4.0,,,10.0,,8.0,,12.0,12.0,high,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Anaheim
44,Community Health Initiative of Orange County ,Charitable Ventures,advertising,,3/28/2020,,,,,,orange,Social Media Post on facebook,,,,,,,,,,,,,54,high,75.0,medium,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,Orange
45,Clergy and Laity United for Economic Justice,Charitable Ventures,advertising,,7/26/2020,,,,,Anaheim,"405 n dale ave, anaheim 92801",St. John the Baptist Greek Orthodox Church - announcement and/or social media,,,,,,,,,,,,,100,MEDIUM,100.0,high,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaheim
46,Community Health Initiative of Orange County ,Charitable Ventures,advertising,Social Media post,3/14/2020,,,,,,orange,facebook post,,,,,,,,,,,,,67,high,80.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,,Orange
47,The LGBTQ Center OC,Charitable Ventures,advertising,Social Media Post,2/29/2020,2/29/2020,,,30.0,Anaheim,"500 w broadway, anaheim 92805",Census postcards were given to individuals who assited the citizenship fair.,,,30.0,OCCORD CITIZENSHIP FAIR,,,30.0,General Census Postcards,,,,,30,medium,75.0,medium,,,,,,25.0,,,,,,20.0,,10.0,,medium,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,medium,,,,,,,,,,,Anaheim
48,Access California Services,Charitable Ventures,advertising,Social Media post,4/1/2020,,,,,Anaheim,"631 s. brookhurst st., suite #107, anaheim 92804",post on social media regarding census day,,,,,,,,,,,,,233,very_high,100.0,medium,,,,,,,,,,,,,,,,very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,Anaheim
49,Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Brea,"255 s. kraemer circle, brea 92821",Posters posted up in community areas,,,,,,,,,,,,,115,medium,100.0,very_high,,,,,,61.0,18.0,8.0,2.0,,,,,,,high,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,medium,,,,,,,,,,,Brea
50,AASCSC,Asian American Senior Citizens Service Center,social_media,,5/26/2020,,,,,,orange,,,,,,,,,,,,,,220,very_high,100.0,medium,150.0,,,,,50.0,100.0,,,,,100.0,,,,medium,,,,,,100.0,,,,,,,,,100.0,,,,,,,,,,,,medium,,,,,,,,,,,Orange
51,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/1/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
52,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,7/13/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
53,Jamboree Housing Corporation,Charitable Ventures,advertising,,2/10/2020,,,,,Brea,"401 discovery lane, brea 92821",Posters posted up in community areas,,,,,,,,,,,,,94,medium,100.0,very_high,,,,,,34.0,4.0,6.0,1.0,,,,,,,medium,,,,,,,,,,,,,,,,,,,,70.0,,,,,4.0,,medium,,,,,,,,,,,Brea
54,KCS,Charitable Ventures,advertising,Send Census text messages to KCS patients/clients,7/31/2020,,,,,Buena Park,"7212 orangethorpe ave. suite 8,  buena park 90621",advertising Census,,sending text messages,3274.0,,KCS patients/clients,,,,,,,,3270,very_high,99.0,very_high,,,,,,,,,,,,50.0,,,,very_high,,,,,,,,,,,,,,1500.0,,,,,,,,,,,,,medium,,,,,,,,,,,Buena Park
55,KCS,Charitable Ventures,advertising,Telehealth and telephone inquiry about Census,7/13/2020,7/17/2020,,,,Buena Park,"7214 orangethorpe ave. suite 9, buena park 90621",Advertising Census,,Asking for particiating Census,350.0,,"Low income patients, Covid-19 scan inquiries and applicants",,,,,,,,350,high,70.0,high,,,,,,,150.0,,,,,120.0,,50.0,,medium,,,,,,,,,,,,,,140.0,,,,,,20.0,,,,,,,high,,,,,,,50.0,,,,Buena Park
56,Latino Health Access,Charitable Ventures,social_media,,5/10/2020,,,,,,orange,Facebook post,,,,,,,,,,,,,1272,exact,75.0,high,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
57,Project Access,Charitable Ventures,advertising,Passing out Census Flyers,2/7/2020,,,,,Cypress,"5201 lincoln ave, cypress 90630",,,,,,,,,,,,,,170,exact,80.0,high,163.0,11.0,,,,10.0,115.0,5.0,,,,162.0,2.0,,,high,11.0,,,,,,1.0,,6.0,,,,,114.0,,,,,,10.0,,,,,1.0,4.0,medium,,,,,,,,,,,Cypress
58,OC Human Relations,Charitable Ventures,advertising,T-shirts and bags distribution,9/23/2020,,,,,Fullerton,"3100 topaz lane, fullerton 92831",,,,,,,,,,,,,,300,high,95.0,high,110.0,,10.0,,,100.0,5.0,5.0,,55.0,,80.0,,20.0,60.0,high,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,high,YES,NO,NO,NO,NO,4.0,,,,,Fullerton
59,OC Human Relations,Charitable Ventures,advertising,T-Shirts/Bags distribution,9/16/2020,,,,,Fullerton,"711 highland ave, fullerton 92832",,,,,,,,,,,,,,80,high,95.0,high,60.0,,24.0,,,70.0,10.0,4.0,,20.0,,70.0,4.0,10.0,40.0,high,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,high,YES,NO,NO,NO,NO,,,,,,Fullerton
60,AltaMed,Charitable Ventures,advertising,,1/13/2020,1/20/2020,,,,Garden Grove,"12751 harbor blvd, garden grove 92840",Census PSAs ,,,,,,,,,,,,,1567,exact,95.0,very_high,847.0,106.0,42.0,,,1047.0,346.0,68.0,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,1261.0,,,,,,,low,,,,,,,,,,,Garden Grove
61,WAVE,Charitable Ventures,social_media,,5/13/2020,5/18/2020,,,,,orange,,,,,,,,,,Facebook,,,,2243,exact,100.0,high,,,,,,2243.0,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
62,Latino Health Access,Charitable Ventures,social_media,,4/12/2020,,,,,,orange,Instagram Post ,,,,,,,,,,,,,200,exact,70.0,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
63,AltaMed,Charitable Ventures,advertising,,1/28/2020,2/4/2020,,,,Garden Grove,"12751 harbor blvd, garden grove 92840",Census PSAs ,,,,,,,,,,,,,1603,very_high,90.0,very_high,,398.0,,,,937.0,342.0,23.0,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,1603.0,,,,,,,low,,,,,,,,,,,Garden Grove
64,AltaMed,Charitable Ventures,advertising,,6/23/2020,6/29/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,130924.0,,,,,,,medium,,,,,,,,,,,Garden Grove
65,AltaMed,Charitable Ventures,advertising,,7/7/2020,7/13/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,130924.0,,,,,,,medium,,,,,,,,,,,Garden Grove
66,AltaMed,Charitable Ventures,advertising,,7/14/2020,7/20/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,130924.0,,,,,,,medium,,,,,,,,,,,Garden Grove
67,AltaMed,Charitable Ventures,advertising,,7/21/2020,7/27/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,130924.0,,,,,,,medium,,,,,,,,,,,Garden Grove
68,AltaMed,Charitable Ventures,advertising,,7/28/2020,8/1/2020,,,,Garden Grove,"13458 harbor blvd, garden grove 92840",AltaMed Census Billboard - 22 E/W FWY,,,,,,,,,,,,,130924,medium,90.0,medium,,,,,,,,,,,,,,,,medium,,,,,,,,,,,,,,,,,,,,130924.0,,,,,,,medium,,,,,,,,,,,Garden Grove
69,The Cambodian Family,Charitable Ventures,advertising,In-language commerical aired on Khmer TV ,6/28/2020,,,,,,orange,,,,,,,,,,,,,,2150,high,90.0,very_high,1935.0,,,,,,,,,,,,,,,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,exact,,,,,,,,,,,Orange
70,AltaMed,Charitable Ventures,advertising,,1/13/2020,1/20/2020,,,,Huntington Beach,"8041 newman ave, huntington beach 92647",Census PSAs ,,,,,,,,,,,,,1618,exact,95.0,very_high,716.0,34.0,28.0,,,1089.0,219.0,74.0,38.0,,,,,,,medium,,,,,,,,,,,,,,,,,,,,1211.0,,,,,,,low,,,,,,,,,,,Huntington Beach
