,cbo_name,activity_type,activity_type_other,City,city_extracted,htc_category
442,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
443,CAIR-LA,event,,Irvine,Irvine,immigrant / refugee
444,Orange County United Way,event,,Irvine,Irvine,immigrant / refugee
446,KCS,event,,Irvine,Irvine,immigrant / refugee
447,CAIR-LA,event,,Mission Viejo,Mission Viejo,immigrant / refugee
448,CAIR-LA,event,,Mission Viejo,Mission Viejo,immigrant / refugee
449,Orange County United Way,event,,Newport Beach,Newport Beach,immigrant / refugee
450,Catholic Charities of Orange County,event,,Orange,Orange,immigrant / refugee
451,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
452,Catholic Charities of Orange County,event,,Orange,Orange,immigrant / refugee
453,Catholic Charities of Orange County,event,,Orange,Orange,immigrant / refugee
456,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
457,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
459,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
460,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
461,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
462,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
464,The Cambodian Family ,event,Stigma Arts Class,Santa Ana,Santa Ana,immigrant / refugee
465,The Cambodian Family ,event,Class,Santa Ana,Santa Ana,immigrant / refugee
469,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
476,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
477,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
478,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
479,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
481,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
483,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
484,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
486,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
487,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
488,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
489,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
490,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
491,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
493,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
494,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
495,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
496,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
497,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
499,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
500,Access California Services,event,Access Gala Event ,,Anaheim,immigrant / refugee
501,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
502,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
503,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
504,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
505,"Southland Integrated Services, Inc.",flyers,,,Westminster,immigrant / refugee
506,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
507,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
508,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
510,Institute for Healthcare Advancement ,booths,Outreach,,La Habra,immigrant / refugee
511,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
512,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
513,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
514,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
515,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
516,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
517,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
518,Catholic Charities of Orange County,event,,Santa Ana,Santa Ana,immigrant / refugee
521,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
522,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
523,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
524,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
525,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
526,OCAPICA,speaking_engagement,coasltine students,,Garden Grove,immigrant / refugee
527,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
529,Latino Health Access,event,,Santa Ana,Santa Ana,immigrant / refugee
530,Latino Health Access,event,,Santa Ana,Santa Ana,immigrant / refugee
533,AASCSC,social_media,,,,immigrant / refugee
542,Project Access,event,Food Bank,Santa Ana,Santa Ana,immigrant / refugee
544,project access,event,Food Bank ,Santa Ana,Santa Ana,immigrant / refugee
545,project access,event,Food Bank ,Santa Ana,Santa Ana,immigrant / refugee
546,project access,event,Food Bank ,Santa Ana,Santa Ana,immigrant / refugee
549,OCCCO,event," Announcements, flyer distributions, and direct conversation with spanish-speaking community",Santa Ana,Santa Ana,immigrant / refugee
550,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
551,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
552,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
553,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
554,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
556,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
558,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
559,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
560,AASCSC,event,,Santa Ana,Santa Ana,immigrant / refugee
562,AASCSC,meeting,,,Westminster,immigrant / refugee
563,"Southland Integrated Services, Inc.",event,distributing census flyers at community food distribution event (Stanton),Stanton,Stanton,immigrant / refugee
564,California Healthy Nail Salon Collaborative,event,,Westminster,Westminster,immigrant / refugee
565,"Southland Integrated Services, Inc. ",event,food distribution at community center,Westminster,Westminster,immigrant / refugee
566,Latino Health Access,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,,Santa Ana,immigrant / refugee
567,Orange County United Way,event,,Westminster,Westminster,immigrant / refugee
570,CAIR-LA,flyers,,Anaheim,Anaheim,immigrant / refugee
573,AASCSC,social_media,,,,immigrant / refugee
578,AASCSC,other,reporter,,Santa Ana,immigrant / refugee
584,Access California Services,flyers,distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Wish List ,Anaheim,Anaheim,immigrant / refugee
587,Access California Services,flyers,distributed Census postcards to families who picked up toys for AccessCals Drive-Thru Eid Toy Distribution ,Anaheim,Anaheim,immigrant / refugee
588,Access California Services,flyers,AccessCal distributed diapers to community members on-site and passed out informational material about the Census,Anaheim,Anaheim,immigrant / refugee
589,Access California Services,flyers,AccessCal distributed milk gallons to community members on-site and passed out informational material about the Census,Anaheim,Anaheim,immigrant / refugee
590,OCAPICA,social_media,social media,,Garden Grove,immigrant / refugee
607,Project Access,flyers,flyers,Cypress,Cypress,immigrant / refugee
608,Project Access ,flyers,Food Bank Distribution ,Cypress,Cypress,immigrant / refugee
609,Project Access,flyers,,Cypress,Cypress,immigrant / refugee
610,CAIR-LA,webinar,Census Webinar (Facebook and Youtube),,,immigrant / refugee
611,Project Access ,flyers,Food pantry distribution,Cypress,Cypress,immigrant / refugee
612,"Southland Integrated Services, Inc.",flyers,Posting information sheet on VACF Facebook Page,Fountain Valley,Fountain Valley,immigrant / refugee
613,Latino Health Access,media_other,Educational messages via a loudspeaker from LHA Infomovil - a van that drives to supermarkets and food distribution events and educates people via messages thru a loudspeaker.,,Santa Ana,immigrant / refugee
616,"Southland Integrated Services, Inc.",flyers,Sending out Mailchimp to subscribers,Fountain Valley,Fountain Valley,immigrant / refugee
617,"Southland Integrated Services, Inc.",flyers,Distribution of Census flyers and promotional items in care packages,Fountain Valley,Fountain Valley,immigrant / refugee
618,"Southland Integrated Services, Inc.",flyers,Posting information sheet on VACF Facebook Page,Fountain Valley,Fountain Valley,immigrant / refugee
620,"Southland Integrated Services, Inc.",flyers,Distributing Census flyers and promotional items,Fountain Valley,Fountain Valley,immigrant / refugee
621,"Southland Integrated Services, Inc.",flyers,Distributing flyer and promotional items to individuals,Fountain Valley,Fountain Valley,immigrant / refugee
624,CAIR-LA,flyers,,Fullerton,Fullerton,immigrant / refugee
625,CAIR-LA,flyers,Census swag bags provided to 125 individuals at ICNA weekly food pantry,Fullerton,Fullerton,immigrant / refugee
631,CAIR-LA,flyers,,Garden Grove,Garden Grove,immigrant / refugee
644,OCAPICA,collateral,,,Westminster,immigrant / refugee
651,Orange County United Way,flyers,,Lake Forest,Lake Forest,immigrant / refugee
652,Orange County United Way,flyers,,Lake Forest,Lake Forest,immigrant / refugee
661,WAVE,flyers,,Orange,Orange,immigrant / refugee
662,WAVE,flyers,,Orange,Orange,immigrant / refugee
663,WAVE,flyers,,Orange,Orange,immigrant / refugee
664,WAVE,flyers,,Orange,Orange,immigrant / refugee
665,OCAPICA,webinar,,,Garden Grove,immigrant / refugee
666,WAVE,flyers,,Orange,Orange,immigrant / refugee
676,California Healthy Nail Salon Collaborative,social_media,,,,immigrant / refugee
680,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
681,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
682,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
683,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Santa Ana,immigrant / refugee
684,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
685,The Cambodian Family,advertising,In-language commerical aired on Khmer TV ,,Orange,immigrant / refugee
686,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
687,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
689,The LGBTQ Center OC,flyers,Outreach event,Santa Ana,Santa Ana,immigrant / refugee
692,Project Access ,flyers,Food Bank Distribution ,Santa Ana,Santa Ana,immigrant / refugee
693,Project Access ,flyers,Food Bank Distribution ,Santa Ana,Santa Ana,immigrant / refugee
694,Project Access ,flyers,Food Bank Distribution ,Santa Ana,Santa Ana,immigrant / refugee
702,AASCSC,form_filling_assistance,,Santa Ana,Santa Ana,immigrant / refugee
